species,site,ID,stipe_length,stipe_diameter,frond_length,digits,primary_blade_width,primary_blade_length,stipe_mass,frond_mass,epiphyte_length
maxima,Boulders Beach,1,456,23.5,116,6,15,18,5.25,3,332
maxima,Boulders Beach,2,477,27,141,6,20,17,8.75,2.5,381
maxima,Boulders Beach,3,427,17.5,144,7,10,16,4.05,2.25,357
maxima,Boulders Beach,4,347,22.5,127,5,12,20,4.5,2.25,320
maxima,Boulders Beach,5,470,17,160,5,11,15,4.25,3.25,384
maxima,Boulders Beach,6,478,17.5,181,4,10.5,18.5,5,2.25,394
maxima,Boulders Beach,7,472,24,174,6,13,14,5.05,4.78,409
maxima,Boulders Beach,8,459,25.5,95,8,13,19,5.5,1,392
maxima,Boulders Beach,9,397,14.5,87,4,7,17,2.75,0.75,369
maxima,Boulders Beach,10,541,25.5,127,6,20,22.5,6.5,3,508
maxima,Boulders Beach,11,507,30,118,6,16,18,6.35,5,482
maxima,Boulders Beach,12,463,22,151,8,13.5,16,4.5,3,384
maxima,Boulders Beach,13,271,14,121,10,8,16,2.5,1.1,177
maxima,Batsata Rock,1,720,33,181,7,17,28,7.35,10,575
maxima,Batsata Rock,2,600,36,194,8,22.5,18,8.5,9.85,450
maxima,Batsata Rock,3,720,24.5,160,6,8.8,14,6.51,5,373
maxima,Batsata Rock,4,395,29,229,6,18,21,6.65,7.5,620
maxima,Batsata Rock,5,669,34,220,10,18,29,6.75,4.8,575
maxima,Batsata Rock,6,684,30,243,8,22,19,6.85,7.2,544
maxima,Batsata Rock,7,668,32.5,242,8,16,5,7.5,6.5,534
maxima,Batsata Rock,8,356,14.5,129,8,7,17,3.05,9,229
maxima,Batsata Rock,9,631,17,219,8,9.5,16,5.35,6.1,351
maxima,Batsata Rock,10,669,19,250,8,10.5,17,4.65,4.23,474
maxima,Batsata Rock,11,746,28.5,198,7,12.5,19,5.55,6.4,675
maxima,Batsata Rock,12,655,32.5,235,8,14.5,20,5.35,5.5,536
maxima,Batsata Rock,13,536,17.5,215,7,9.5,16,5.45,5.75,770
