species,ID,left_length,left_width,right_length,right_width
Aulacomya,11,34.33,18.13,34.18,19.37
Aulacomya,21,34.9,18.99,34.9,18.3
Aulacomya,5,35.9,16.66,35.6,17.13
Aulacomya,9,38,19.3,38.93,18.6
Aulacomya,2,38.86,16.6,37.7,16.4
Aulacomya,20,40.01,19.51,39,19.4
Aulacomya,23,40.61,21.82,40.86,21.86
Aulacomya,25,41.22,19.59,41.32,20.27
Aulacomya,8,42.3,19.3,39.49,19.73
Aulacomya,24,42.78,22.86,41.6,23.31
Aulacomya,17,42.88,21.42,43.7,21.16
Aulacomya,12,43.22,21.81,43.18,21.91
Aulacomya,36,43.3,19.57,43.19,18.83
Aulacomya,35,44.43,20.7,46.07,20.68
Aulacomya,22,44.95,22.15,44.18,22.5
Aulacomya,33,46.43,23.42,44.46,23.32
Aulacomya,14,46.59,22.43,46.72,22.55
Aulacomya,15,46.78,22.28,47.6,22.04
Aulacomya,32,47.5,23.23,46.99,23.4
Aulacomya,16,47.57,23.11,48.25,23.11
Aulacomya,34,47.66,20.22,47.6,20.62
Aulacomya,4,48.5,26.18,47.99,26.19
Aulacomya,1,48.83,22.6,49.98,22.81
Aulacomya,29,48.89,22.3,48.65,18.9
Choromytilus,66,49.28,23.5,49.32,23.6
Aulacomya,10,49.77,22.13,42.54,18.71
Choromytilus,65,50,24.53,50.8,25.77
Aulacomya,19,50.66,25.5,49.1,25.8
Choromytilus,3,51.84,24.46,51.61,24.11
Aulacomya,31,52.42,24.02,52.2,24.6
Aulacomya,6,52.6,26.9,50.58,21.47
Choromytilus,21,52.9,26.67,44.58,21.32
Choromytilus,45,53.75,26.82,52.82,24.58
Aulacomya,27,54.15,26.57,53.94,27.19
Choromytilus,7,55.8,28.23,56.39,27.9
Choromytilus,64,55.8,24.2,56.75,24.78
Choromytilus,8,58.01,27.3,56,27.7
Choromytilus,60,58.7,27.2,59.3,27.21
Choromytilus,27,58.96,29.14,59.36,29.21
Choromytilus,24,59.97,29.35,59.59,31.85
Choromytilus,4,60,27.6,59.5,27.5
Choromytilus,10,60.75,27.4,60.16,26.99
Choromytilus,63,61.75,30.82,62.04,28.95
Choromytilus,61,62.64,28.8,62.05,30.3
Choromytilus,28,63.02,31.9,62.97,31.95
Choromytilus,46,64.1,28.75,63.6,28.25
Choromytilus,2,64.48,31.29,64.57,31.1
Choromytilus,48,64.81,31.2,64.6,31.5
Choromytilus,38,65.01,32.71,65.17,32.84
Choromytilus,37,65.9,31.13,65.03,30.56
Choromytilus,62,66.36,32.2,66.05,32.32
Choromytilus,47,67.58,31.79,67.85,31
Choromytilus,16,67.59,30.93,55.6,26.9
Choromytilus,31,68.43,31.75,68.65,29.37
Choromytilus,20,68.56,33.34,68.05,32.7
Choromytilus,36,68.7,33.56,70.06,33.13
Choromytilus,1,69.55,29.3,68.72,30.55
Choromytilus,23,69.65,32.63,69.22,32.56
Choromytilus,43,70.29,31.4,68.82,32.29
Choromytilus,29,70.63,32.2,70.34,32.55
Choromytilus,39,71.1,31.55,71,31.55
Choromytilus,17,72.95,31.56,68.7,31.64
Choromytilus,6,73.11,35.56,72.73,35.39
Choromytilus,59,73.15,34.14,73.15,35.2
Choromytilus,42,73.17,31.55,72.86,31.89
Choromytilus,18,73.42,36.14,72.95,36.15
Choromytilus,19,74.03,35.7,73.16,33.35
Choromytilus,56,74.3,32.81,74.1,33.52
Choromytilus,13,74.38,32,74.3,32.31
Choromytilus,11,75.34,36.75,74.39,35.3
Choromytilus,44,75.42,32.84,76.48,32
Choromytilus,26,76.1,32.37,75.87,32.81
Choromytilus,52,77.5,36.78,77.47,36.89
Choromytilus,51,79.54,37.26,79.49,37.56
Choromytilus,15,79.58,33.38,75.39,33.29
Choromytilus,35,81.5,35.1,79.93,33.75
Choromytilus,12,81.92,38.09,81.91,38.87
Choromytilus,57,82.12,37.9,82.19,36.8
Choromytilus,55,83.18,39.66,83.5,37.98
Choromytilus,22,87.75,38.45,81.6,35.69
Choromytilus,58,88.02,36.3,82.5,38.2
